"Microsoft Status","CA Owner","CA Common Name or Certificate Name","Subject","SHA-1 Fingerprint","SHA-256 Fingerprint","Microsoft EKUs","Valid From [GMT]","Valid To [GMT]","Public Key Algorithm","Signature Hash Algorithm"
"Included","AC Camerfirma, S.A.","Global Chambersign Root - 2008","CN=Global Chambersign Root - 2008; O=AC Camerfirma S.A.; L=Madrid (see current address at www.camerfirma.com/address); C=EU; SerialNumber=A82743287","4ABDEEEC950D359C89AEC752A12C5B29F6D6AA0C","136335439334A7698016A0D324DE72284E079D7B5220BB8FBD747816EEBEBACA","Server Authentication;Client Authentication;Code Signing;Encrypting File System;IP Security Tunnel Termination;IP Security User;Secure Email;Time Stamping","2008 Aug 01","2038 Jul 31","RSA 4096 bits","SHA1WithRSA"
"Included","AC Camerfirma, S.A.","GLOBAL CHAMBERSIGN ROOT - 2016","CN=GLOBAL CHAMBERSIGN ROOT - 2016; OU=see current address at www.camerfirma.com/address, GLOBAL CHAMBERSIGN ROOT - 2016; O=AC CAMERFIRMA S.A.; L=MADRID; ST=MADRID; C=ES; SerialNumber=A82743287; OrganizationIdentifier=VATES-A82743287","1139A49E8484AAF2D90D985EC4741A65DD5D94E2","C1D80CE474A51128B77E794A98AA2D62A0225DA3F419E5C7ED73DFBF660E7109","Server Authentication;Client Authentication;Secure Email","2016 Apr 14","2040 Apr 08","RSA 4096 bits","SHA256WithRSA"
"Disabled","Actalis","Actalis Authentication CA G1","CN=Actalis Authentication CA G1; O=Actalis S.p.A./03358520967; L=Milano; C=IT","9158C5EF987301A8903CFDAB03D72DA1D88909C9","AFE80A97EA11159190E927E08EC2E60C59A40559483A3FEE838A85321B3AEAAD","Server Authentication;Client Authentication;Code Signing;Encrypting File System;IP Security Tunnel Termination;IP Security User;Secure Email;Time Stamping","2009 Jun 23","2022 Jun 25","RSA 2048 bits","SHA1WithRSA"
"Included","Actalis","Actalis Authentication Root CA","CN=Actalis Authentication Root CA; O=Actalis S.p.A./03358520967; L=Milan; C=IT","F373B387065A28848AF2F34ACE192BDDC78E9CAC","55926084EC963A64B96E2ABE01CE0BA86A64FBFEBCC7AAB5AFC155B37FD76066","Server Authentication;Client Authentication;Code Signing;Secure Email;Time Stamping","2011 Sep 22","2030 Sep 22","RSA 4096 bits","SHA256WithRSA"
"NotBefore","Agence Nationale de Certification Electronique","Tunisian Root Certificate Authority - TunRootCA2","CN=Tunisian Root Certificate Authority - TunRootCA2; O=National Digital Certification Agency; C=TN","9638633C9056AE8814A065D23BDC60A0EE702FA7","C795FF8FF20C966688F064A1E091421D3110A3456C17EC2404B998738741F622","Server Authentication;Client Authentication;Code Signing;Document Signing;Encrypting File System;Secure Email;Time Stamping","2015 May 05","2027 May 05","RSA 4096 bits","SHA256WithRSA"
"Included","Agence Nationale de Certification Electronique","TunTrust Root CA","CN=TunTrust Root CA; O=Agence Nationale de Certification Electronique; C=TN","CFE970840FE0730F9DF60C7F2C4BEE2046349CBB","2E44102AB58CB85419451C8E19D9ACF3662CAFBC614B6A53960A30F7D0E2EB41","Server Authentication;Client Authentication","2019 Apr 26","2044 Apr 26","RSA 4096 bits","SHA256WithRSA"
"Disabled","Agencia Notarial de Certificación (ANCERT)","ANCERT Certificados CGN","CN=ANCERT Certificados CGN; O=Agencia Notarial de Certificacion S.L. Unipersonal - CIF B83395988; C=ES","11C5B5F75552B011669C2E9717DE6D9BFF5FA810","8177D1A82BA501AFDD1E9483AD7DA912EE1E9FCB2A5A061FA3C479FA804CE6BA","Server Authentication;Client Authentication;Code Signing;IP Security User;OCSP Signing;Secure Email;Time Stamping","2004 Feb 11","2024 Feb 11","RSA 2048 bits","SHA1WithRSA"
"Included","Agencia Notarial de Certificación (ANCERT)","ANCERT Certificados CGN V2","CN=ANCERT Certificados CGN V2; O=Agencia Notarial de Certificacion S.L.U. - CIF B83395988; C=ES","7EB1A0429BE5F428AC2B93971D7C8448A536070C","F4336BC2AC75950BECCF1C1F2F9DA6DDDAFD1F41161CA71F59C76889BD474033","Server Authentication;Client Authentication;Code Signing;Document Signing;Secure Email;Time Stamping","2010 May 25","2030 May 25","RSA 4096 bits","SHA256WithRSA"
"Disabled","Agencia Notarial de Certificación (ANCERT)","ANCERT Certificados Notariales","CN=ANCERT Certificados Notariales; O=Agencia Notarial de Certificacion S.L. Unipersonal - CIF B83395988; C=ES","C09AB0C8AD7114714ED5E21A5A276ADCD5E7EFCB","00AB444ABD6BDBA33DA8DE569AC4ECDE326D1BE1A61442D5EEC3975A0C243F04","Server Authentication;Client Authentication;Code Signing;IP Security User;OCSP Signing;Secure Email;Time Stamping","2004 Feb 11","2024 Feb 11","RSA 2048 bits","SHA1WithRSA"
"Included","Agencia Notarial de Certificación (ANCERT)","ANCERT Certificados Notariales V2","CN=ANCERT Certificados Notariales V2; O=Agencia Notarial de Certificacion S.L.U. - CIF B83395988; C=ES","6F62DEB86C85585AE42E478DB4D76DB367585AE6","4BE8B5A1C76C6AEAD0611918FCCF9DBD398B67FB12294758BDF994D0F9682F60","Server Authentication;Client Authentication;Code Signing;Document Signing;Secure Email;Time Stamping","2010 May 25","2030 May 25","RSA 4096 bits","SHA256WithRSA"
"Disabled","Agencia Notarial de Certificación (ANCERT)","ANCERT Corporaciones de Derecho Publico","CN=ANCERT Corporaciones de Derecho Publico; O=Agencia Notarial de Certificacion S.L. Unipersonal - CIF B83395988; C=ES","0CFD83DBAE44B9A0C8F676F3B570650B94B69DBF","36544D2FCE03C6C72B70EB1A8064264DC1511768C2D8F76A8B9F1F2BBD153B7D","Server Authentication;Client Authentication;Code Signing;IP Security User;OCSP Signing;Secure Email;Time Stamping","2004 Feb 11","2024 Feb 11","RSA 2048 bits","SHA1WithRSA"
"Included","Amazon Trust Services","Amazon Root CA 1","CN=Amazon Root CA 1; O=Amazon; C=US","8DA7F965EC5EFC37910F1C6E59FDC1CC6A6EDE16","8ECDE6884F3D87B1125BA31AC3FCB13D7016DE7F57CC904FE1CB97C6AE98196E","Server Authentication;Client Authentication;Document Signing;Encrypting File System;Secure Email;Time Stamping","2015 May 26","2038 Jan 17","RSA 2048 bits","SHA256WithRSA"
"Included","Amazon Trust Services","Amazon Root CA 2","CN=Amazon Root CA 2; O=Amazon; C=US","5A8CEF45D7A69859767A8C8B4496B578CF474B1A","1BA5B2AA8C65401A82960118F80BEC4F62304D83CEC4713A19C39C011EA46DB4","Server Authentication;Client Authentication;Code Signing;Document Signing;Encrypting File System;Secure Email;Time Stamping","2015 May 26","2040 May 26","RSA 4096 bits","SHA384WithRSA"
"Included","Amazon Trust Services","Amazon Root CA 3","CN=Amazon Root CA 3; O=Amazon; C=US","0D44DD8C3C8C1A1A58756481E90F2E2AFFB3D26E","18CE6CFE7BF14E60B2E347B8DFE868CB31D02EBB3ADA271569F50343B46DB3A4","Server Authentication;Client Authentication;Document Signing;Encrypting File System;Secure Email;Time Stamping","2015 May 26","2040 May 26","EC secp256r1","ecdsaWithSHA256"
"Included","Amazon Trust Services","Amazon Root CA 4","CN=Amazon Root CA 4; O=Amazon; C=US","F6108407D6F8BB67980CC2E244C2EBAE1CEF63BE","E35D28419ED02025CFA69038CD623962458DA5C695FBDEA3C22B0BFB25897092","Server Authentication;Client Authentication;Code Signing;Document Signing;Encrypting File System;Secure Email;Time Stamping","2015 May 26","2040 May 26","EC secp384r1","ecdsaWithSHA384"
"Included","Amazon Trust Services","Starfield Services Root Certificate Authority - G2","CN=Starfield Services Root Certificate Authority - G2; O=Starfield Technologies, Inc.; L=Scottsdale; ST=Arizona; C=US","925A8F8D2C6D04E0665F596AFF22D863E8256F3F","568D6905A2C88708A4B3025190EDCFEDB1974A606A13C6E5290FCB2AE63EDAB5","Server Authentication;Client Authentication;Code Signing;Encrypting File System;IP Security Tunnel Termination;IP Security User;Secure Email;Time Stamping","2009 Sep 01","2037 Dec 31","RSA 2048 bits","SHA256WithRSA"
"Disabled","AOL","America Online Root Certification Authority 1","CN=America Online Root Certification Authority 1; O=America Online Inc.; C=US","3921C115C15D0ECA5CCB5BC4F07D21D8050B566A","77407312C63A153D5BC00B4E51759CDFDAC237DC2A33B67946E98E9BFA680AE3","Code Signing","2002 May 28","2037 Nov 19","RSA 2048 bits","SHA1WithRSA"
"Included","Asseco Data Systems S.A. (previously Unizeto Certum)","Certum CA","CN=Certum CA; O=Unizeto Sp. z o.o.; C=PL","6252DC40F71143A22FDE9EF7348E064251B18118","D8E0FEBC1DB2E38D00940F37D27D41344D993E734B99D5656D9778D4D8143624","Server Authentication;Client Authentication;Code Signing;OCSP Signing;Secure Email;Time Stamping","2002 Jun 11","2027 Jun 11","RSA 2048 bits","SHA1WithRSA"
"Included","Asseco Data Systems S.A. (previously Unizeto Certum)","Certum EC-384 CA","CN=Certum EC-384 CA; OU=Certum Certification Authority; O=Asseco Data Systems S.A.; C=PL","F33E783CACDFF4A2CCAC67556956D7E5163CE1ED","6B328085625318AA50D173C98D8BDA09D57E27413D114CF787A0F5D06C030CF6","Server Authentication;Client Authentication;Code Signing;Secure Email;Time Stamping","2018 Mar 26","2043 Mar 26","EC secp384r1","ecdsaWithSHA384"
"Included","Asseco Data Systems S.A. (previously Unizeto Certum)","Certum Trusted Network CA","CN=Certum Trusted Network CA; OU=Certum Certification Authority; O=Unizeto Technologies S.A.; C=PL","07E032E020B72C3F192F0628A2593A19A70F069E","5C58468D55F58E497E743982D2B50010B6D165374ACF83A7D4A32DB768C4408E","Server Authentication;Client Authentication;Code Signing;Encrypting File System;IP Security Tunnel Termination;IP Security User;Secure Email;Time Stamping","2008 Oct 22","2029 Dec 31","RSA 2048 bits","SHA1WithRSA"
"Included","Asseco Data Systems S.A. (previously Unizeto Certum)","Certum Trusted Network CA 2","CN=Certum Trusted Network CA 2; OU=Certum Certification Authority; O=Unizeto Technologies S.A.; C=PL","D3DD483E2BBF4C05E8AF10F5FA7626CFD3DC3092","B676F2EDDAE8775CD36CB0F63CD1D4603961F49E6265BA013A2F0307B6D0B804","Server Authentication;Client Authentication;Code Signing;Secure Email","2011 Oct 06","2046 Oct 06","RSA 4096 bits","SHA512WithRSA"
"Included","Asseco Data Systems S.A. (previously Unizeto Certum)","Certum Trusted Root CA","CN=Certum Trusted Root CA; OU=Certum Certification Authority; O=Asseco Data Systems S.A.; C=PL","C88344C018AE9FCCF187B78F22D1C5D74584BAE5","FE7696573855773E37A95E7AD4D9CC96C30157C15D31765BA9B15704E1AE78FD","Server Authentication;Client Authentication;Code Signing;Secure Email;Time Stamping","2018 Mar 16","2043 Mar 16","RSA 4096 bits","SHA512WithRSA"
"Disabled","Athens Exchange S.A. (Athex)","ATHEX Root CA","CN=ATHEX Root CA; O=Athens Exchange S.A.; C=GR","DB2B7B434DFB7FC1CB5926EC5D9521FE350FF279","A73563E859CBCFA173CF3285DEBF2578EDE15D47A3BEE385861AB7A4FB6D7B6E","Server Authentication;Client Authentication;Code Signing;Encrypting File System;Secure Email","2010 Oct 18","2030 Oct 17","RSA 2048 bits","SHA1WithRSA"
"Disabled","Athens Exchange S.A. (Athex)","ATHEX Root CA G2","CN=ATHEX Root CA G2; O=ATHENS STOCK EXCHANGE; C=GR","892A1BD4C8B0F8AA9A65ED4CB9D3BF4840B34BC1","C1727F3B673E6AE7F12F23D789A7BE38B918223EF6911C592DA1F583444A547E","Server Authentication;Document Signing;Secure Email;Time Stamping","2016 Mar 15","2036 Mar 14","RSA 4096 bits","SHA384WithRSA"
"Included","Autoridad de Certificacion Firmaprofesional","Autoridad de Certificacion Firmaprofesional CIF A62634068","CN=Autoridad de Certificacion Firmaprofesional CIF A62634068; C=ES","0BBEC2272249CB39AADB355C53E38CAE78FFB6FE","57DE0583EFD2B26E0361DA99DA9DF4648DEF7EE8441C3B728AFA9BCDE0F9B26A","Server Authentication;Client Authentication","2014 Sep 23","2036 May 05","RSA 4096 bits","SHA256WithRSA"
"Included","Autoridad de Certificacion Firmaprofesional","Autoridad de Certificacion Firmaprofesional CIF A62634068","CN=Autoridad de Certificacion Firmaprofesional CIF A62634068; C=ES","AEC5FB3FC8E1BFC4E54F03075A9AE800B7F7B6FA","04048028BF1F2864D48F9AD4D83294366A828856553F3B14303F90147F5D40EF","Server Authentication;Client Authentication;Code Signing;Encrypting File System;IP Security Tunnel Termination;IP Security User;Secure Email;Time Stamping","2009 May 20","2030 Dec 31","RSA 4096 bits","SHA1WithRSA"
"Disabled","Autoridad de Certificación (ANF AC)","ANF Server CA","CN=ANF Server CA; OU=ANF Clase 1 CA; O=ANF Autoridad de Certificación; L=Barcelona (see current address at https://www.anf.es/address/); ST=Barcelona; C=ES; SerialNumber=G63287510","CEA9890D85D80753A626286CDAD78CB566D70CF2","B644D955FFF29B74E3B5687E908EE7C3C9197BA3336CC6328531F6C057D677FD","Server Authentication;Client Authentication;Code Signing;Encrypting File System;IP Security Tunnel Termination;IP Security User;Secure Email;Time Stamping","2009 Nov 30","2021 Nov 30","RSA 2048 bits","SHA1WithRSA"
"Disabled","Autoridad de Certificación (ANF AC)","ANF Global Root CA","CN=ANF Global Root CA; OU=ANF Clase 1 CA; O=ANF Autoridad de Certificacion; L=Barcelona (see current address at http://www.anf.es/es/address-direccion.html ); ST=Barcelona; C=ES; SerialNumber=G63287510; EmailAddress=info@anf.es","5BB59920D11B391479463ADD5100DB1D52F43AD4","E0E17AEA06CF9CE12AAE8190345A2C59720130A7D8FF72F3745AD75DBAA365B6","Server Authentication;Client Authentication","2013 Jun 10","2033 Jun 05","RSA 4096 bits","SHA1WithRSA"
"Included","Buypass","Buypass Class 2 Root CA","CN=Buypass Class 2 Root CA; O=Buypass AS-983163327; C=NO","490A7574DE870A47FE58EEF6C76BEBC60B124099","9A114025197C5BB95D94E63D55CD43790847B646B23CDF11ADA4A00EFF15FB48","Server Authentication;Client Authentication;Encrypting File System;IP Security Tunnel Termination;IP Security User;OCSP Signing;Secure Email;Time Stamping","2010 Oct 26","2040 Oct 26","RSA 4096 bits","SHA256WithRSA"
"Included","Buypass","Buypass Class 3 Root CA","CN=Buypass Class 3 Root CA; O=Buypass AS-983163327; C=NO","DAFAF7FA6684EC068F1450BDC7C281A5BCA96457","EDF7EBBCA27A2A384D387B7D4010C666E2EDB4843E4C29B4AE1D5B9332E6B24D","Server Authentication;Client Authentication;OCSP Signing;Secure Email;Time Stamping","2010 Oct 26","2040 Oct 26","RSA 4096 bits","SHA256WithRSA"
"Included","Buypass","Buypass Class 3 Root CA G2 HT","CN=Buypass Class 3 Root CA G2 HT; O=Buypass AS; C=NO; OrganizationIdentifier=NTRNO-983163327","2F7F1FC907B84E71EACC5695E186A144136E595A","AB936DFD7F171D3A3CBD08F9BEBDC3F3BAAABAA79DF6A908F8A7B0128627F187","Document Signing","2020 Nov 10","2045 Nov 10","RSA 4096 bits","SHA512WithRSA"
"Included","Byte Computer S.A.","BYTE Root Certification Authority 001","CN=BYTE Root Certification Authority 001; O=BYTE Computer S.A.; C=GR","3F0FEB17A7EF5804CFD90A77B7BB021EA69C6418","39AE2E6F304A6236BDF9066718DDC69E51AF5ED05A63F2EE8D80CA1D1CC8FE4F","Client Authentication;Code Signing;Document Signing;Secure Email;Time Stamping","2014 Sep 10","2039 Sep 10","RSA 4096 bits","SHA256WithRSA"
"NotBefore","Carillon Information Security Inc.","CISRCA1","CN=CISRCA1; OU=Certification Authorities; O=Carillon Information Security Inc.; C=CA","A69E0336C4E59023FF653C71F928EB73F21C00F0","12FF248372BD87E44ECE432198BE9B04525F33DEE00356FD646F8ACC01412F86","Client Authentication;Code Signing;Document Signing;Encrypting File System;Secure Email;Time Stamping","2012 Oct 16","2032 Oct 16","RSA 4096 bits","SHA256WithRSA"
"Included","Carillon Information Security Inc.","Carillon PKI Services G2 Root CA 1","CN=Carillon PKI Services G2 Root CA 1; OU=Certification Authorities; O=Carillon Information Security Inc.; C=CA","EB9237B72076F8CC8BC13E7046F2FCABC18199D3","EE0EC4A0B5E6ECB865F49689B50E3DE38D4FD924A4041C0C2A62636DB0B6B31D","Client Authentication;Document Signing;Secure Email;Time Stamping","2020 Jan 20","2040 Jan 20","RSA 4096 bits","SHA256WithRSA"
"Disabled","CertEurope France","Certeurope Root CA 2","CN=Certeurope Root CA 2; OU=0002 434202180; O=Certeurope; C=FR","FA0882595F9CA6A11ECCBEAF65C764C0CCC311D0","42143A511A3AFCDD80D555DEBB4191EC6BB285EE66E62EC657ED20ADF7D55FAA","Server Authentication;Client Authentication;Secure Email;Time Stamping","2007 Mar 27","2037 Mar 27","RSA 4096 bits","SHA1WithRSA"
"Disabled","Certicámara","AC Raíz Certicámara S.A.","CN=AC Raíz Certicámara S.A.; O=Sociedad Cameral de Certificación Digital - Certicámara S.A.; C=CO","CBA1C5F8B0E35EB8B94512D3F934A2E90610D336","A6C51E0DA5CA0A9309D2E4C0E40C2AF9107AAE8203857FE198E3E769E343085C","Client Authentication;Code Signing;Encrypting File System;IP Security IKE Intermediate;IP Security Tunnel Termination;IP Security User;Secure Email;Time Stamping;IP Security End System","2006 Nov 27","2030 Apr 02","RSA 4096 bits","SHA1WithRSA"
"Included","Certicámara","AC Raíz Certicámara S.A.","CN=AC Raíz Certicámara S.A.; O=Sociedad Cameral de Certificación Digital - Certicámara S.A.; C=CO","5463283B6793FF55277CEDE39098E80422F912F7","D2A90E5D35CAC4D41F7D44CE66AFF885E1815FB339185853A87E66C05C9BEF1E","Client Authentication;Code Signing;Encrypting File System;IP Security IKE Intermediate;IP Security Tunnel Termination;IP Security User;Secure Email;Time Stamping;IP Security End System","2016 May 24","2031 May 24","RSA 4096 bits","SHA256WithRSA"
"Included","Certigna","Certigna","CN=Certigna; O=Dhimyotis; C=FR","B12E13634586A46F1AB2606837582DC4ACFD9497","E3B6A2DB2ED7CE48842F7AC53241C7B71D54144BFB40C11F3F1D0B42F5EEA12D","Server Authentication;Client Authentication;Code Signing;IP Security IKE Intermediate;IP Security Tunnel Termination;IP Security User;OCSP Signing;Secure Email;Time Stamping","2007 Jun 29","2027 Jun 29","RSA 2048 bits","SHA1WithRSA"
"Included","Certigna","Certigna Root CA","CN=Certigna Root CA; OU=0002 48146308100036; O=Dhimyotis; C=FR","2D0D5214FF9EAD9924017420476E6C852727F543","D48D3D23EEDB50A459E55197601C27774B9D7B18C94D5A059511A10250B93168","Server Authentication;Client Authentication;Code Signing;Document Signing;Encrypting File System;Secure Email;Time Stamping","2013 Oct 01","2033 Oct 01","RSA 4096 bits","SHA256WithRSA"
"Disabled","Certipost s.a./n.v.","Certipost E-Trust Primary Normalised CA","CN=Certipost E-Trust Primary Normalised CA; O=Certipost s.a./n.v.; C=BE","A59C9B10EC7357515ABB660C4D94F73B9E6E9272","F00355EEF101C7DF4E46CCE6417DFFCE3DB82DBB1369C3B439C4E33BEE445C42","Server Authentication;Client Authentication;Code Signing;Document Signing;Secure Email;Time Stamping","2005 Jul 26","2020 Jul 26","RSA 2048 bits","SHA1WithRSA"
"Disabled","Certipost s.a./n.v.","Certipost E-Trust Primary Qualified CA","CN=Certipost E-Trust Primary Qualified CA; O=Certipost s.a./n.v.; C=BE","742CDF1594049CBF17A2046CC639BB3888E02E33","058A40323EC8C46262C3052A5D357B91AC24D3DA26351B3FF4407E99F7A4E9B4","Server Authentication;Client Authentication;Code Signing;Document Signing;Secure Email;Time Stamping","2005 Jul 26","2020 Jul 26","RSA 2048 bits","SHA1WithRSA"
"Disabled","Certipost s.a./n.v.","Certipost E-Trust TOP Root CA","CN=Certipost E-Trust TOP Root CA; O=Certipost s.a./n.v.; C=BE","0560A2C738FF98D1172A94FE45FB8A47D665371E","DDFF53ECD7743B60BB7B2795FF5732FA785F9A14DF1120FB40A38CF84CA2A566","Server Authentication;Client Authentication;Code Signing;Document Signing;Secure Email;Time Stamping","2005 Jul 26","2025 Jul 26","RSA 2048 bits","SHA1WithRSA"
"Included","certSIGN","certSIGN ROOT CA","OU=certSIGN ROOT CA; O=certSIGN; C=RO","FAB7EE36972662FB2DB02AF6BF03FDE87C4B2F9B","EAA962C4FA4A6BAFEBE415196D351CCD888D4F53F3FA8AE6D7C466A94E6042BB","Server Authentication;Client Authentication;Code Signing;Encrypting File System;IP Security Tunnel Termination;IP Security User;Secure Email;Time Stamping","2006 Jul 04","2031 Jul 04","RSA 2048 bits","SHA1WithRSA"
"Included","certSIGN","certSIGN ROOT CA G2","OU=certSIGN ROOT CA G2; O=CERTSIGN SA; C=RO","26F993B4ED3D2827B0B94BA7E9151DA38D92E532","657CFE2FA73FAA38462571F332A2363A46FCE7020951710702CDFBB6EEDA3305","Server Authentication;Client Authentication;Document Signing;Secure Email","2017 Feb 06","2042 Feb 06","RSA 4096 bits","SHA256WithRSA"
"Included","China Financial Certification Authority (CFCA)","CFCA EV ROOT","CN=CFCA EV ROOT; O=China Financial Certification Authority; C=CN","E2B8294B5584AB6B58C290466CAC3FB8398F8483","5CC3D78E4E1D5E45547A04E6873E64F90CF9536D1CCC2EF800F355C4C5FD70FD","Server Authentication;Client Authentication;Code Signing;Encrypting File System;IP Security Tunnel Termination;IP Security User;OCSP Signing;Secure Email;Time Stamping","2012 Aug 08","2029 Dec 31","RSA 4096 bits","SHA256WithRSA"
"Included","China Financial Certification Authority (CFCA)","CFCA Identity CA","CN=CFCA Identity CA; O=China Financial Certification Authority; C=CN","F02B70BDE4EAE02B207377B9FD4785E4C9CC55DC","FFB85C26308A961351249EA641F659D49F639E91DAED9C92D046CCDCECC93D2F","Document Signing","2015 Jun 30","2040 Jun 30","RSA 4096 bits","SHA256WithRSA"
"Disabled","China Financial Certification Authority (CFCA)","CFCA GT CA","O=CFCA GT CA; C=CN","EABDA240440ABBD694930A01D09764C6C2D77966","0771920C8CB874D5C5A4DC0D6A51A2D495D38C4DE2CD5B83D2A06FAA051935F6","Server Authentication;Client Authentication;Code Signing;Encrypting File System;IP Security Tunnel Termination;IP Security User;OCSP Signing;Secure Email;Time Stamping","2011 Jun 13","2026 Jun 09","RSA 2048 bits","SHA1WithRSA"
"Disabled","China Internet Network Information Center (CNNIC)","China Internet Network Information Center EV Certificates Root","CN=China Internet Network Information Center EV Certificates Root; O=China Internet Network Information Center; C=CN","4F99AA93FB2BD13726A1994ACE7FF005F2935D1E","1C01C6F4DBB2FEFC22558B2BCA32563F49844ACFC32B7BE4B0FF599F9E8C7AF7","Server Authentication;Client Authentication;Code Signing;Encrypting File System;IP Security Tunnel Termination;IP Security User;Secure Email;Time Stamping","2010 Aug 31","2030 Aug 31","RSA 2048 bits","SHA1WithRSA"
